Festival;year;Notes;Stage name;Main genre;genres on Spotify
Wireless;2005;;New Order;new wave;alternative dance,alternative rock,britpop,dance rock,electronic,indie rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk
Reading;1998;;Garbage;rock;alternative dance,alternative rock,britpop,dance pop,dance rock,electronic,lilith,new wave pop,permanent wave,pop rock,post-grunge,rock,synthpop
end of the road festival;2014;;St. Vincent;rock;alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dream pop,escape room,etherpop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,metropopolis,neo-psychedelic,new rave,noise pop,pop,pop rock,shimmer pop,singer-songwriter,synthpop
end of the road festival;2016;;animal collective;indie;alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dance-punk,dream pop,escape room,experimental rock,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,noise pop,noise rock,nu gaze,post rock,shimmer pop,synthpop
end of the road festival;2007;;ryan adams;folk;alternative country,folk-pop,indie folk,indie pop,neo mellow,new americana,pop rock,roots rock,singer-songwriter,stomp and holler
end of the road festival;2008;;calexico;folk;alternative country,folk christmas,folk-pop,indie christmas,indie folk,roots rock,singer-songwriter,slow core,stomp and holler
end of the road festival;2009;;steve earle;folk;alternative country,country rock,folk,folk rock,mellow gold,new americana,outlaw country,rock,roots rock,singer-songwriter,southern rock,texas country,traditional country,traditional folk
end of the road festival;2017;;lucinda williams;folk;alternative country,anti-folk,country blues,country rock,folk,folk rock,folk-pop,lilith,mellow gold,new americana,outlaw country,roots rock,singer-songwriter,texas country,traditional folk
end of the road festival;2008;;conor oberst;folk;alternative country,anti-folk,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,lo-fi,melancholia,new americana,pop rock,roots rock,singer-songwriter,slow core,stomp and holler
end of the road festival;2006;;lambchop;folk;alternative country,anti-folk,art rock,chamber pop,chamber psych,folk-pop,freak folk,indie folk,indie pop,indie rock,lo-fi,melancholia,new weird america,roots rock,singer-songwriter,slow core
end of the road festival;2010;;wilco;folk;alternative country,alternative rock,chamber pop,chicago indie,folk rock,folk-pop,freak folk,garage rock,indie folk,indie pop,indie rock,lo-fi,neo-psychedelic,new americana,pop rock,rock,roots rock,singer-songwriter,slow core,stomp and holler
Latitude;2015;;Noel Gallagher's High Flying Birds;rock;alt-indie rock,britpop,garage rock,indie rock,madchester,rock
t in the park;2015;;Noel Gallagher's High Flying Birds;rock;alt-indie rock,britpop,garage rock,indie rock,madchester,rock
boardmasters;2013;;the vaccines;indie;alt-indie rock,britpop,garage rock,indie pop,indie rock,indietronica
bestival;2017;;jamie t;indie;alt-indie rock,britpop,garage rock,grime,indie rock,new rave
boardmasters;2008;;the pigeon detectives;rock;alt-indie rock,britpop,dance-punk,garage rock,indie rock,madchester,new rave,sheffield indie
Reading;2015;;The Libertines;rock;alt-indie rock,alternative rock,britpop,dance-punk,funk rock,garage rock,indie rock,madchester,new rave,rock
Isle of Wight;2013;;The Stone Roses;rock;alt-indie rock,alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,madchester,new wave,rock
t in the park;2012;;The Stone Roses;rock;alt-indie rock,alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,madchester,new wave,rock
t in the park;2016;;The Stone Roses;rock;alt-indie rock,alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,madchester,new wave,rock
v festival;2012;;The Stone Roses;rock;alt-indie rock,alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,madchester,new wave,rock
